,deploy_date,retrieve_date,nrec,nday,totmin,location,Hex,Hexagon_ID,Station,Deployment,Owner,GIS_Elev_ft,ElevM,ElevBin,sub
1,7/9/2021,8/24/2021,196,47,6656.6,39178-1,39178,39178,1,7/8/2021,NPS,975,297.1654983,Low,0
2,7/9/2021,8/19/2021,176,42,5955.387733,39178-3,39178,39178,3,7/8/2021,NPS,603,183.7854313,Low,0
3,7/9/2021,8/30/2021,220,53,7496.1832,39178-4,39178,39178,4,7/8/2021,NPS,1373,418.4699787,Low,0
4,7/9/2021,8/30/2021,218,53,7376.149867,39178-5,39178,39178,5,7/8/2021,NPS,1276,388.9058214,Low,0
5,5/4/2021,6/7/2021,140,35,4897.666667,39321-1,39321,39321,1,5/3/2021,NPS,2188,666.8698568,Mid,0
6,5/4/2021,6/15/2021,172,43,6017.133333,39321-3,39321,39321,3,5/3/2021,NPS,674,205.4251753,Low,0
7,5/4/2021,5/4/2021,4,1,139.9333333,39321-4,39321,39321,4,5/3/2021,NPS,1334,406.5833587,Low,0
8,5/4/2021,5/4/2021,1,1,59.96666667,39321-5,39321,39321,5,5/3/2021,NPS,1629,496.494971,Low,0
9,5/5/2021,5/31/2021,108,27,3778.2,39323-1,39323,39323,1,5/4/2021,NPS,1813,552.5754343,Low,0
10,5/5/2021,5/19/2021,60,15,2099,39323-2,39323,39323,2,5/4/2021,NPS,2078,633.3434928,Low,0
11,5/5/2021,6/16/2021,172,43,6017.116533,39323-3,39323,39323,3,5/4/2021,NPS,1958,596.7692777,Low,0
12,5/5/2021,6/15/2021,165,42,5747.249867,39323-5,39323,39323,5,5/4/2021,NPS,1937,590.36879,Low,0
13,5/4/2021,6/13/2021,163,41,5675.9728,39461-1,39461,39461,1,5/3/2021,NPS,744,226.7601341,Low,0
14,5/4/2021,6/13/2021,164,41,5735.889067,39461-3,39461,39461,3,5/3/2021,NPS,1429,435.5379457,Low,0
15,5/4/2021,6/11/2021,153,39,5377.3832,39461-4,39461,39461,4,5/3/2021,NPS,657,200.2438281,Low,0
16,5/4/2021,6/14/2021,168,42,5877.2,39461-5,39461,39461,5,5/3/2021,NPS,1690,515.0868638,Low,0
17,7/21/2021,9/7/2021,202,49,6916.466667,39603-1,39603,39603,1,7/20/2021,NPS,3462,1055.166108,Mid,0
18,7/21/2021,9/7/2021,202,49,6916.466667,39603-2,39603,39603,2,7/20/2021,NPS,3490,1063.700091,Mid,0
19,7/21/2021,9/7/2021,201,49,6856.433333,39603-4,39603,39603,4,7/20/2021,NPS,3430,1045.412984,Mid,0
20,7/21/2021,9/7/2021,204,49,6936.449867,39603-5,39603,39603,5,7/20/2021,NPS,3343,1018.896678,Mid,0
21,5/19/2021,6/24/2021,145,37,5097.566667,39606-2,39606,39606,2,5/18/2021,NPS,1546,471.1978055,Low,0
22,5/19/2021,7/5/2021,189,48,6636.833333,39606-3,39606,39606,3,5/18/2021,NPS,1684,513.258153,Low,0
23,5/19/2021,7/15/2021,232,58,8116.116533,39606-4,39606,39606,4,5/18/2021,NPS,2624,799.7561719,Mid,0
24,5/19/2021,5/19/2021,4,1,139.9333333,39606-5,39606,39606,5,5/18/2021,NPS,1326,404.1450777,Low,0
25,5/5/2021,6/15/2021,168,42,5877.2,39609-1,39609,39609,1,5/4/2021,NPS,1238,377.3239866,Low,0
26,5/5/2021,6/15/2021,168,42,5877.2,39609-2,39609,39609,2,5/4/2021,NPS,2445,745.1996343,Mid,0
27,5/5/2021,6/15/2021,168,42,5877.2,39609-3,39609,39609,3,5/4/2021,NPS,2142,652.8497409,Mid,0
28,5/5/2021,6/15/2021,168,42,5877.2,39609-4,39609,39609,4,5/4/2021,NPS,1273,387.991466,Low,0
29,7/21/2021,9/7/2021,204,49,6936.399733,39895-1,39895,39895,1,7/20/2021,NPS,3324,1013.10576,Mid,0
30,7/21/2021,8/20/2021,130,31,4296.641333,39895-2,39895,39895,2,7/20/2021,NPS,4047,1233.465407,Mid,0
31,7/21/2021,9/7/2021,204,49,6936.466667,39895-3,39895,39895,3,7/20/2021,NPS,3274,997.8665041,Mid,0
32,7/21/2021,9/7/2021,204,49,6936.466667,39895-4,39895,39895,4,7/20/2021,NPS,3938,1200.243828,Mid,0
33,5/5/2021,6/8/2021,140,35,4897.666667,39906-1,39906,39906,1,5/4/2021,NPS,2380,725.388601,Mid,0
34,5/5/2021,5/31/2021,108,27,3778.2,39906-3,39906,39906,3,5/4/2021,NPS,1767,538.5553185,Low,0
35,5/5/2021,6/12/2021,156,39,5457.4,39906-4,39906,39906,4,5/4/2021,NPS,1968,599.8171289,Low,0
36,5/5/2021,6/15/2021,168,42,5877.2,39906-5,39906,39906,5,5/4/2021,NPS,1883,573.9103932,Low,0
37,7/1/2021,8/31/2021,256,62,8755.6,40033-2,40033,40033,2,6/30/2021,NPS,739,225.2362085,Low,0
38,7/1/2021,8/15/2021,190,46,6496.649867,40033-3,40033,40033,3,6/30/2021,NPS,1700,518.134715,Low,0
39,7/1/2021,8/31/2021,256,62,8755.5664,40033-4,40033,40033,4,6/30/2021,NPS,505,153.9164889,Low,0
40,7/1/2021,8/31/2021,256,62,8755.566667,40033-5,40033,40033,5,6/30/2021,NPS,711,216.7022249,Low,0
41,5/20/2021,6/7/2021,76,19,2658.733333,40043-1,40043,40043,1,5/19/2021,NPS,2692,820.4815605,Mid,0
42,5/20/2021,6/29/2021,164,41,5737.266667,40043-3,40043,40043,3,5/19/2021,NPS,2696,821.700701,Mid,0
43,5/20/2021,5/26/2021,28,7,979.5333333,40043-4,40043,40043,4,5/19/2021,NPS,2800,853.3983542,Mid,0
44,5/20/2021,5/23/2021,13,4,479.7666667,40043-5,40043,40043,5,5/19/2021,NPS,1901,579.3965254,Low,0
45,6/30/2021,9/1/2021,264,64,9035.449867,40182-1,40182,40182,1,6/30/2021,NPS,1105,336.7875648,Low,0
46,6/30/2021,8/10/2021,168,42,5775.822933,40182-2,40182,40182,2,6/30/2021,NPS,645,196.5864066,Low,0
47,6/30/2021,7/20/2021,84,21,2938.6,40182-4,40182,40182,4,6/29/2021,NPS,765,233.1606218,Low,0
48,6/30/2021,9/1/2021,264,64,9035.449867,40182-5,40182,40182,5,6/29/2021,NPS,1552,473.0265163,Low,0
49,7/22/2021,9/8/2021,196,49,6427.2136,40187-1,40187,40187,1,7/21/2021,NPS,3724,1135.019811,Mid,0
50,7/22/2021,9/8/2021,204,49,6936.466667,40187-3,40187,40187,3,7/21/2021,NPS,3646,1111.246571,Mid,0
51,7/22/2021,8/30/2021,165,40,5545.705867,40187-4,40187,40187,4,7/21/2021,NPS,4002,1219.750076,Mid,0
52,7/22/2021,9/8/2021,204,49,6936.466667,40187-5,40187,40187,5,7/21/2021,NPS,4115,1254.190795,Mid,0
53,5/5/2021,6/15/2021,168,42,5877.2,40199-1,40199,40199,1,5/4/2021,NPS,2553,778.1164279,Mid,0
54,5/5/2021,5/25/2021,84,21,2938.6,40199-2,40199,40199,2,5/4/2021,NPS,2524,769.2776593,Mid,0
55,5/5/2021,6/15/2021,168,42,5877.2,40199-3,40199,40199,3,5/4/2021,NPS,2171,661.6885096,Mid,0
56,5/5/2021,6/14/2021,163,41,5675.9896,40199-4,40199,40199,4,5/4/2021,NPS,2484,757.0862542,Mid,0
57,7/13/2021,8/24/2021,181,43,6106.7832,40339-1,40339,40339,1,7/12/2021,NPS,3682,1122.218836,Mid,0
58,7/13/2021,8/25/2021,185,44,6246.766667,40339-2,40339,40339,2,7/12/2021,NPS,4303,1311.490399,Mid,0
59,7/13/2021,8/25/2021,184,44,6236.716533,40339-3,40339,40339,3,7/11/2021,NPS,4218,1285.583664,Mid,0
60,7/13/2021,8/24/2021,181,43,6106.8,40339-5,40339,40339,5,7/11/2021,NPS,3396,1035.05029,Mid,0
61,7/11/2021,8/24/2021,187,45,6366.682933,40341-2,40341,40341,2,7/10/2021,NPS,2895,882.3529412,Mid,0
62,7/12/2021,8/24/2021,184,44,6236.766667,40341-3,40341,40341,3,7/11/2021,NPS,3471,1057.909174,Mid,0
63,7/12/2021,8/19/2021,163,39,5477.166667,40341-4,40341,40341,4,7/11/2021,NPS,3541,1079.244133,Mid,0
64,7/11/2021,8/23/2021,183,44,6176.8,40341-5,40341,40341,5,7/10/2021,NPS,3139,956.720512,Mid,0
65,6/12/2021,7/13/2021,128,32,4476.791467,40495-1,40495,40495,1,6/11/2021,NPS,2908,886.3151478,Mid,0
66,6/12/2021,6/15/2021,13,4,479.7666667,40495-2,40495,40495,2,6/11/2021,NPS,3424,1043.584273,Mid,0
67,6/12/2021,8/11/2021,248,61,8575.8,40495-3,40495,40495,3,6/11/2021,NPS,3650,1112.465712,Mid,0
68,6/12/2021,7/26/2021,180,45,6296.9832,40495-4,40495,40495,4,6/11/2021,NPS,3616,1102.103017,Mid,0
69,7/11/2021,8/25/2021,191,46,6506.599733,40632-1,40632,40632,1,7/10/2021,NPS,2417,736.6656507,Mid,0
70,7/11/2021,8/25/2021,191,46,6456.7,40632-3,40632,40632,3,7/10/2021,NPS,2157,657.4215178,Mid,0
71,7/11/2021,8/25/2021,192,46,6516.666667,40632-4,40632,40632,4,7/10/2021,NPS,2448,746.1139896,Mid,0
