"","species","elev.bin","edf_jday","ref_df_jday","p_value_jday","edf_location","ref_df_location","p_value_location","deviance_explained","n","nhits"
"1","AMRO","Low",5.925,5.997,0,59.188,64,0,0.326,2695,6518
"2","AMRO","Mid",5.773,5.977,0,106.752,119,0,0.41,5043,4225
"3","BRCR","Low",5.9,5.995,0,58.732,64,0,0.366,2695,4857
"4","BRCR","Mid",5.844,5.99,0,114.763,119,0,0.44,5043,15344
"5","CAJA","Low",5.798,5.978,0,52.291,64,0,0.503,2695,2540
"6","CAJA","Mid",5.911,5.995,0,106.504,119,0,0.435,5043,3260
"7","CBCH","Low",5.998,6,0,63.342,64,0,0.497,2695,192854
"8","CBCH","Mid",5.993,6,0,118.116,119,0,0.455,5043,167079
"9","DEJU","Low",5.939,5.998,0,63.413,64,0,0.558,2695,56230
"10","DEJU","Mid",5.998,6,0,118.559,119,0,0.571,5043,161508
"11","EVGR","Low",5.966,5.999,0,57.262,64,0,0.716,2695,5464
"12","EVGR","Mid",5.965,5.999,0,113.747,119,0,0.434,5043,12328
"13","GCKI","Low",5.914,5.996,0,60.63,64,0,0.469,2695,10235
"14","GCKI","Mid",5.99,6,0,117.651,119,0,0.41,5043,58416
"15","HAFL","Low",5.995,6,0,59.162,64,0,0.806,2695,24027
"16","HAFL","Mid",5.995,6,0,113.599,119,0,0.537,5043,20000
"17","HETH","Low",5.543,5.899,0,35.943,64,0,0.493,2695,158
"18","HETH","Mid",5.997,6,0,107.245,119,0,0.758,5043,32102
"19","NOFL","Low",5.977,5.998,0,55.938,64,0,0.523,2695,3234
"20","NOFL","Mid",5.952,5.999,0,111.415,119,0,0.463,5043,14270
"21","OSFL","Low",5.767,5.959,0,44.682,64,0,0.832,2695,3940
"22","OSFL","Mid",5.994,6,0,106.646,119,0,0.669,5043,30211
"23","PAWR","Low",5.999,6,0,63.926,64,0,0.6,2695,719694
"24","PAWR","Mid",5.992,6,0,117.83,119,0,0.725,5043,308118
"25","PISI","Low",5.948,5.998,0,59.337,64,0,0.64,2695,3458
"26","PISI","Mid",5.928,5.997,0,117.082,119,0,0.658,5043,58393
"27","PIWO","Low",5.066,5.665,0,57.426,64,0,0.427,2695,6001
"28","PIWO","Mid",5.933,5.996,0,83.849,119,0,0.549,5043,1222
"29","PSFL","Low",5.999,6,0,63.213,64,0,0.709,2695,717182
"30","PSFL","Mid",5.999,6,0,118.241,119,0,0.779,5043,605992
"31","RBNU","Low",5.997,6,0,61.883,64,0,0.607,2695,115180
"32","RBNU","Mid",5.996,6,0,117.944,119,0,0.581,5043,545420
"33","RECR","Low",5.991,6,0,59.995,64,0,0.854,2695,139821
"34","RECR","Mid",5.997,6,0,113.893,119,0,0.804,5043,377211
"35","RUHU","Low",1,1,1,0,64,1,-Inf,2695,0
"36","RUHU","Mid",1.917,2.125,0.801,6.885,119,0.426,0.819,5043,6
"37","SOGR","Low",5.692,5.912,0,39.651,64,0,0.575,2695,1776
"38","SOGR","Mid",5.989,5.999,0,77.347,119,0,0.731,5043,13915
"39","STJA","Low",5.969,5.999,0,62.39,64,0,0.364,2695,49870
"40","STJA","Mid",5.964,5.999,0,113.093,119,0,0.474,5043,19569
"41","SWTH","Low",5.98,5.999,0,50.711,64,0,0.698,2695,4594
"42","SWTH","Mid",5.81,5.981,0,70.932,119,0,0.474,5043,254
"43","TOWA","Low",5.051,5.305,0,34.377,64,0,0.816,2695,1126
"44","TOWA","Mid",5.991,5.999,0,99.091,119,0,0.831,5043,45481
"45","VATH","Low",5.997,6,0,63.39,64,0,0.555,2695,168498
"46","VATH","Mid",5.999,6,0,118.667,119,0,0.619,5043,270886
"47","WAVI","Low",5.161,5.552,0,28.878,64,0,0.821,2695,1969
"48","WAVI","Mid",5.868,5.991,0,62.856,119,0,0.575,5043,973
"49","WETA","Low",5.974,6,0,60.338,64,0,0.427,2695,15140
"50","WETA","Mid",5.983,6,0,110.047,119,0,0.639,5043,11178
"51","WEWP","Low",5.47,5.738,0,21.684,64,0,0.668,2695,263
"52","WEWP","Mid",4.686,5.281,0,43.931,119,0,0.641,5043,546
"53","WIWA","Low",5.925,5.997,0,53.881,64,0,0.647,2695,5214
"54","WIWA","Mid",1.001,1.003,0.022,81.053,119,0,0.766,5043,2832
"55","YRWA","Low",1.876,2.336,0.283,9.642,64,0.013,0.383,2695,7
"56","YRWA","Mid",5.945,5.998,0,62.555,119,0,0.89,5043,2143
