common_name,totvocs,vocs95,vocs_fraction
American Robin,16677,10743,0.6441806080230257
Black-throated Gray Warbler,220160,NA,NA
Brown Creeper,509399,20201,0.039656536428222276
Canada Jay,10840,5800,0.5350553505535055
Chestnut-backed Chickadee,710315,359933,0.5067230735659531
Dark-eyed Junco,241368,217738,0.9020996983858672
Evening Grosbeak,20948,17792,0.8493412258926867
Golden-crowned Kinglet,1401440,68651,0.048986042927274806
Hammond's Flycatcher,107416,44027,0.4098737618231921
Hermit Thrush,57210,32260,0.5638874322670862
Northern Flicker,24629,17504,0.7107068902513297
Olive-sided Flycatcher,44227,34151,0.7721753679878807
Pacific Wren,1524842,1027812,0.6740449174406267
Pacific-slope Flycatcher,1528095,1323174,0.8658977354156646
Pileated Woodpecker,19764,7223,0.3654624569925116
Pine Siskin,61851,61851,1
Red Crossbill,533624,517032,0.9689069457145856
Red-breasted Nuthatch,660600,660600,1
Rufous Hummingbird,2945,6,0.0020373514431239388
Sooty Grouse,63505,15691,0.24708290685772774
Steller's Jay,92441,69439,0.7511710171893424
Swainson's Thrush,8681,4848,0.558461006796452
Townsend's Warbler,818191,46607,0.05696347185437141
Varied Thrush,944650,439384,0.4651288837135447
Warbling Vireo,10363,2942,0.2838946251085593
Western Tanager,40498,26318,0.649859252308756
Western Wood-Pewee,2409,809,0.3358239933582399
Wilson's Warbler,55494,8046,0.14498864742134285
Yellow-rumped Warbler,16090,2150,0.13362336855189558
